timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030280.893781,1.1119358709984226,12282938.572470404,378,128616,1552,0,0,40853984,15503496,1707230,0
1773030282.1566377,2.374842613997316,33112690.411881533,559,170904,25743,0,0,45467184,46836768,6934510,0
1773030283.3520548,3.5701093089992355,46655174.30811577,799,138059,11230,0,0,80448784,50143808,13905182,0
1773030284.3645744,4.58271788699858,64394414.00825483,1081,135222,8877,0,0,111126416,91805832,22055974,0
1773030285.3679938,5.586215912997432,86380909.33334751,1455,137276,3458,0,0,147335624,93682632,32891358,0
1773030286.3681128,6.586338797998906,89504329.2603669,1746,161203,13267,0,0,150559984,105380304,44080774,0
1773030287.3744023,7.592624917997455,76994785.5388403,1746,128209,2068,0,0,189305752,105380304,53765622,0
1773030288.3846679,8.602835868998227,86983685.84596033,1933,129468,1997,0,0,207543128,105380304,64749606,0
1773030289.393065,9.61128157499843,81103947.90057601,1933,127543,2562,0,0,210674528,105380304,74973222,0
