timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030660.3035488,1.0896665799991752,4738021.790118504,86,128667,7099,0,0,9368176,6093200,645358,0
1773030661.329746,2.114289765999274,8857265.894429138,125,123344,8061,0,0,14204128,7641952,1779778,0
1773030662.4078708,3.1936863150003774,12801078.540400147,184,120320,5866,0,0,21434040,8535264,3506958,0
1773030663.4441555,4.230331770999328,19390698.99325382,270,118770,3672,0,0,31862488,15044576,6019618,0
1773030664.4546719,5.240783588997147,26898224.651478313,386,119938,4856,0,0,45107960,38350776,9417038,0
1773030665.4668093,6.25291875000039,42467055.444843166,570,122711,3235,0,0,65105096,54150856,14789838,0
1773030666.6014922,7.387588311998115,57953788.6644498,852,141467,3983,0,0,84412840,48750056,23009638,0
1773030667.6135182,8.39766518900069,68444216.05329329,1148,157085,35668,0,0,102430392,62058496,31651378,0
1773030668.615,9.40114141199956,77228337.07848328,934,121633,7901,0,0,107626248,92116104,41338478,6
1773030669.620023,10.406213520000165,68947729.66872378,709,122998,5519,0,0,80792392,67644592,50000658,14
1773030670.62734,11.413484517997858,53931543.852634974,753,121715,3310,0,0,86710880,70841832,56791118,14
1773030671.63166,12.417822688999877,65020808.613544926,789,127567,996,0,0,86688320,56423816,64953978,14
1773030672.6413655,13.427515198000037,63912527.25436407,813,119423,3328,0,0,95416792,72204640,73020478,14
1773030673.6470208,14.433188912000332,69998210.17493486,827,117610,800,0,0,98556096,80300552,81819898,14
1773030674.6502206,15.436281885999051,68198822.81429218,834,125152,7037,0,0,93400520,84845832,90371118,14
1773030675.6554737,16.441654333997576,66080824.20824156,835,119091,1012,0,0,98272000,79107984,98675598,14
1773030676.7063513,17.492332841997268,55316330.88284038,635,140182,12962,0,0,63489688,28364520,105940558,23
1773030677.715064,18.50119743599862,52920164.22961955,702,116122,2485,0,0,84731392,65003480,112614218,23
