timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030292.3787231,1.0045705739976256,45571981.88457808,1121,69800,1390,0,0,223248032,152921904,5722534,0
1773030293.3908272,2.016641358997731,84480794.49303646,1196,67425,2137,0,0,246575552,159115624,16410102,0
1773030294.3999648,3.0252987099993334,79898054.49786681,1258,99883,5104,0,0,175076240,159115624,26483822,0
1773030295.4063928,4.031980063999072,85355024.86323227,1322,74630,11076,0,0,246238312,159115624,37224486,0
1773030296.4194455,5.045220533000247,78404385.1686187,1380,115827,11048,0,0,165618048,159115624,47154798,0
1773030297.4307456,6.056587754999782,78269208.53090134,1393,141001,18893,0,0,137330312,159115624,57049662,0
1773030298.4410174,7.066797324998333,82774555.38272116,1393,119669,13095,0,0,161810936,159115624,67502118,0
1773030299.446001,8.068959567001002,82658775.72324203,1541,67473,996,0,0,317477104,159115624,77856806,0
1773030300.4468913,9.072409730997606,87298230.78717089,1082,66715,3554,0,0,225446112,159115624,88806734,1
