timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030268.7436604,1.0276048670020828,3055228.8149036537,47,109076,882,0,0,5989728,4717632,392446,0
1773030269.9347095,2.2184543430012127,5068032.6285035955,73,107342,695,0,0,9453472,7104088,1146854,0
1773030271.15175,3.4354266519985686,7653038.554076283,113,171335,7492,0,0,9167936,8062640,2311046,0
1773030272.1990988,4.482819028999074,11568600.522661766,138,143787,8353,0,0,13341280,11138696,3825654,2
1773030273.2563636,5.539942273000634,12327796.284820674,142,154976,7644,0,0,12736896,14469352,5454654,2
1773030274.294734,6.578647378999449,12992484.50985798,147,141971,8242,0,0,14393184,15721256,7141574,2
1773030275.3420732,7.625975335999101,13305814.961649714,159,155229,7672,0,0,14238448,11979312,8883518,2
1773030276.3898702,8.673052066998935,14736157.860433297,180,149510,2325,0,0,16735544,13402856,10812254,2
1773030277.444115,9.727702510001109,17112657.677007012,216,125508,1738,0,0,23930312,17918904,13068238,2
