timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773030973.4334903,1.0040242149989353,7245896.952801795,180,118665,10983,0,0,21085752,11839088,909382,0
1773030974.4866412,2.0572028779970424,18599450.110617373,265,109950,799,0,0,33503400,17137592,3357950,0
1773030975.4989197,3.069483445997321,24900985.75120832,373,127603,3688,0,0,40633784,18778728,6508798,0
1773030976.6311278,4.201615717996901,34911652.090078965,543,183129,995,0,0,41217440,31280264,11449374,0
1773030978.0841093,5.654604700997879,15097727.68867941,385,136562,30555,0,0,39189512,314608,14191478,10
1773030979.2771602,6.840350575999764,34791508.76230914,444,109358,235,0,0,56437624,34105136,19348214,10
1773030980.3273687,7.8979323799976555,38818459.09678856,448,105527,1724,0,0,59013600,33989168,24479926,10
1773030981.540895,9.111333058997843,38683321.02688129,453,122272,3642,0,0,51500392,42644824,30347222,10
1773030982.8283315,10.39873622399682,39546026.749157816,465,113930,3475,0,0,56735464,40113112,36711182,10
1773030983.8998828,11.470323839999764,40354210.28968032,488,121466,939,0,0,55847360,33467608,42116566,10
1773030984.9100535,12.480645400999492,42503188.74468875,522,116176,6019,0,0,62458760,42799112,47484302,10
1773030985.9153724,13.485964875999343,49190428.744063996,571,122904,1677,0,0,64581360,46709008,53665814,10
1773030986.9187047,14.489303039998049,52878203.88347995,640,113896,1563,0,0,78110576,36212296,60297654,10
1773030987.9294822,15.500049302998377,55057869.65247669,716,122518,1722,0,0,81236648,65140416,67253846,10
1773030988.9473343,16.51777732899791,66210349.20780596,827,142578,14714,0,0,80629208,49299360,75676862,10
1773030989.9490144,17.51960063599836,73054511.19831766,967,112166,361,0,0,119840224,92024272,84825326,10
1773030990.9510605,18.52145418999862,75492007.48753358,1105,114359,1007,0,0,134316640,84163800,94279318,10
1773030991.9646468,19.532723985998018,83786558.57734187,1191,111741,3214,0,0,148162736,113492144,104870670,12
1773030992.968512,20.539089529000194,81352165.29350412,1193,112071,1263,0,0,147973376,120416424,115104422,12
1773030993.9945076,21.54574902999957,72275862.81932394,1196,108658,1991,0,0,153005752,120416424,124199070,12
1773030994.9774454,22.547995281998737,72646353.98213539,1206,110312,1620,0,0,151971232,120416424,133300262,12
1773030995.9888687,23.559479440998985,81988605.81461637,1225,107258,2917,0,0,158760752,120803048,143666534,12
1773030996.999761,24.57032021699706,71484128.57470395,1252,110476,163,0,0,157533608,120803048,152698918,12
1773030998.0133939,25.58396734499911,68319980.48127457,1295,108738,1874,0,0,165548488,120803048,161355462,12
1773030999.0139108,26.584499236996635,73626694.55036442,1357,122921,241,0,0,153458640,120803048,170563694,12
1773031000.018273,27.58879557399996,76600116.08679731,1433,157547,2846,0,0,126436776,120803048,180179846,12
1773031001.0239668,28.594510584996897,78547834.26339908,1490,111238,1760,0,0,186196248,120803048,190054438,12
1773031002.0263345,29.596289935998357,81643655.28021431,1490,112942,381,0,0,183387456,120803048,200278054,12
1773031003.0394368,30.60974096299833,77599408.26425552,1634,110138,1104,0,0,206230864,120803048,210108454,12
1773031004.0420594,31.612225312997907,78003204.73834132,1634,113490,1175,0,0,200139720,120803048,219883078,12
1773031005.0532782,32.62375365099797,84991833.41712245,1634,107337,851,0,0,211613024,120803048,230629534,12
1773031006.0673435,33.63792513199951,80063525.27268186,1634,116138,3099,0,0,195576872,120803048,240779302,12
1773031007.077489,34.64806465999936,71625495.28505377,1634,110217,165,0,0,206083512,120803048,249823270,12
1773031008.0883708,35.65896910799711,80671553.24276689,2348,110921,2363,0,0,294254840,120803048,260017174,12
1773031009.103309,36.67389504499806,75654529.26239276,2348,109611,340,0,0,297770224,120803048,269615142,12
1773031010.1095924,37.68017807299839,75475036.2340161,2348,108626,2196,0,0,300471368,120803048,279108798,12
1773031011.1114016,38.68196331099898,80145497.21279927,2348,110208,876,0,0,296158880,120803048,289144870,12
1773031012.1187701,39.6893143419984,84337853.8221293,2348,108485,4111,0,0,300861200,120803048,299764598,12
1773031013.1275399,40.69814917299664,77328464.08842534,2348,142476,1695,0,0,229083936,120803048,309516054,12
1773031014.1303482,41.7009626609979,75892333.82938297,2348,157617,34890,0,0,207077592,120803048,319029286,12
1773031015.1323023,42.70278309499918,69114948.79721321,2348,182763,1129,0,0,178586168,120803048,327684382,12
1773031016.1361609,43.70669987599831,82860477.65553962,2348,191309,2926,0,0,170608880,120803048,338082510,12
1773031017.136528,44.707143667998025,75730295.50072077,2348,111621,2221,0,0,292409176,120803048,347552998,12
1773031018.141727,45.71231257799809,76550238.70564696,2348,112695,164,0,0,289620872,120803048,357171238,12
1773031019.1438332,46.71439337699849,75340703.14021671,2348,113583,568,0,0,287356936,120803048,366608422,12
1773031020.1523736,47.72295797499828,74080855.25525783,958,114400,10099,1,1,118836608,120803048,375947838,13
1773031021.1534274,48.724039550997986,74084735.72789216,1657,116682,835,0,0,197404496,120803048,385218446,14
1773031022.153864,49.724472160000005,73640910.27929634,1657,116179,943,0,0,198258520,120803048,394427542,14
1773031023.1609795,50.731551445998775,77986852.76513162,1872,134126,3796,0,0,194012728,120803048,404244910,14
1773031024.1618142,51.732318592999945,75404873.37751482,1872,159169,2438,0,0,163488216,120803048,413677750,14
1773031025.165122,52.73570946699692,69618651.92348802,1872,185827,411,0,0,140034504,120803048,422409590,14
1773031026.1810584,53.75155435599663,72774511.93636037,1872,126717,1852,0,0,205357176,120803048,431650542,14
1773031027.372073,54.94215391999751,47687758.09828718,923,116414,6542,0,0,110213872,92713248,438747670,22
1773031028.3825943,55.95318976299677,69885459.04603651,984,129343,5219,0,0,105752512,71521552,447579758,22
1773031029.3884819,56.959050810997724,72949145.5562663,1031,135172,327,0,0,106025248,106675416,456751846,22
1773031030.4086897,57.97925980599757,69346167.64480746,1063,193719,7065,0,0,76278120,112971432,465595294,22
1773031031.413335,58.98385196199888,75210015.87424459,1089,124723,805,0,0,121372360,117883600,475039718,22
1773031032.4186974,59.98929682999733,83973304.44192018,1105,125165,2267,0,0,122720712,104296800,485593534,22
