timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773192434.8431756,1.0308367210091092,3528861.482969867,324,161188,7095,0,0,46569416,355760,454710,0
1773192435.846731,2.034382314013783,63247239.03172419,3396,157024,6367,0,0,501058528,124863904,8388646,0
1773192436.8484566,3.036120019009104,81120668.20962834,4064,153519,3777,0,0,613308592,124863904,18546350,0
1773192437.8552294,4.038297288003378,76368189.90796459,4165,149313,3142,0,0,646257448,124863904,28113158,0
1773192438.8597276,5.0472846910124645,73324300.9569404,1042,154511,4799,0,0,93744840,124863904,37361070,4
1773192439.8707767,6.058370245998958,69543946.75427766,1048,150484,5354,0,0,96807560,84793520,46150430,4
1773192440.8810973,7.068757391010877,65602228.14317191,1053,163758,2451,0,0,89385136,49645248,54435886,4
1773192441.8919806,8.079674597014673,65258440.165229775,528,144272,2894,0,0,50873240,39082152,62682246,10
1773192442.8963194,9.083999640017282,34256319.94313481,534,148150,2991,0,0,50104592,25994640,66982806,10
