timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773192381.1837878,1.009758147993125,4290849.257924978,384,140167,1599,0,0,63470576,15129120,541590,0
1773192382.4385772,2.26438949801377,35325423.678653255,630,156440,344,0,0,55979952,26077192,6081638,0
1773192383.4735873,3.2995492170157377,46362422.26105089,837,149515,181,0,0,77818072,28243656,12080702,0
1773192384.484327,4.310237499012146,61536773.61050181,1106,143571,1821,0,0,107084424,85671200,19855014,0
1773192385.4870677,5.312837130011758,83985764.00436817,1469,148643,6336,0,0,137377168,94965840,30380526,0
1773192386.4962335,6.3221998049994,75020804.5893188,1732,141214,571,0,0,170493872,116257272,39845926,0
1773192387.5022917,7.32826171600027,84336312.77779943,1820,148691,3457,0,0,170147432,116257272,50451870,0
1773192388.5029345,8.32893412001431,87187710.63339517,1912,140871,1017,0,0,188670232,116257272,61357662,0
1773192389.5065022,9.33248078302131,89518093.48936406,2010,142155,1981,0,0,196549432,116257272,72587110,0
