timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773192354.2904224,1.0645381420035847,4113573.6026875535,388,143750,797,0,0,62533448,9115440,547382,0
1773192355.2983494,2.0727214420039672,71765362.50895303,4723,228537,10763,0,0,478794608,136115856,9591462,0
1773192356.3078134,3.082137290999526,82977353.76687999,4723,154968,6367,0,0,706094304,136115856,20061294,0
1773192357.3199086,4.094197530008387,80716776.38477485,4723,189284,7712,0,0,578085792,136115856,30272574,0
1773192358.3277843,5.102043741004309,54157151.56190716,3306,314506,25896,0,0,146121064,136115856,37095334,33
1773192359.3334732,6.107876536989352,38263154.82416652,1148,279539,4853,49,49,95145320,50879992,41906126,1035
1773192360.4824398,7.256778548995499,48190372.56564904,1197,189823,941,177,177,131448344,55031672,48826878,1635
1773192361.4925156,8.265776971995365,86938966.4051156,1877,174854,3181,0,0,149220496,89957600,59792038,1635
1773192362.4998066,9.274070073995972,72750655.39420484,1947,207577,3405,0,0,130384272,89957600,68961286,1635
