timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773192394.8581512,1.0530198350024875,2750474.3061113926,66,217474,9701,0,0,4218664,3745704,362038,0
1773192395.907276,2.102064006990986,5212028.383548321,89,187111,7337,0,0,6611928,5991184,1045494,0
1773192396.955637,3.147874079993926,6723484.676151358,120,187454,1714,0,0,8898664,7563040,1924430,0
1773192398.0033543,4.1985158729949035,8974872.371169064,160,217610,583,0,0,10220664,8066112,3103102,0
1773192399.0498686,5.245046880008886,12120500.888160048,215,197097,594,0,0,15163432,11812408,4688662,0
1773192400.0995948,6.294172572990647,16485071.441578614,290,174060,6327,0,0,23159976,18627584,6850526,0
1773192401.1583781,7.351867691992084,21794711.524965145,389,166307,1008,0,0,32514584,27923976,9732046,0
1773192402.38858,8.58377190498868,28962251.791648492,543,159762,538,0,0,47246080,28820800,14191886,0
1773192403.42153,9.614077931008069,40160929.81603247,722,158470,136,0,0,63332776,28480552,19364142,0
