timestamp,elapsed,goodput_bps,snd_cwnd,rtt_us,rttvar_us,retrans,lost,pacing_rate_bps,delivery_rate_bps,bytes_acked,total_retrans
1773192448.105077,1.0257925399928354,3805946.9608028815,347,139309,2473,0,0,57708008,7623016,488014,0
1773192449.103776,2.02766745199915,74715147.6725751,3819,144187,1965,0,0,613634592,114163720,9844918,0
1773192450.1087184,3.0327217020094395,73192562.4902804,3819,177984,4141,0,0,497114024,114163720,19040230,0
1773192451.11187,4.035722942004213,76120663.6199152,3819,220488,12056,0,0,401285288,114163720,28583870,0
1773192452.1222012,5.0461899310175795,77748321.17643854,3819,165761,9207,0,0,533770856,114163720,38404134,0
1773192453.1386428,6.062498952000169,66031947.581374116,3819,144819,6004,0,0,610956136,114163720,46792742,0
1773192454.1421301,7.0661498960107565,87759977.23673825,4923,152824,12854,0,0,746322984,114163720,57802790,0
1773192455.1424735,8.066403022996383,67091881.234343156,4923,146333,3292,0,0,779424184,114163720,66191398,0
1773192456.1534274,9.077383498020936,71840912.65287402,4923,168715,2364,0,0,676027992,114163720,75270118,0
